emp_no,first_name,last_name,title,from_date,to_date,hire_date
12245,Christ,Baba,Engineer,1998-11-27,9999-01-01,1985-11-06
12247,Subbu,Penttonen,Technique Leader,1985-04-09,9999-01-01,1985-04-09
12251,Iara,Hiraishi,Senior Engineer,1993-07-20,9999-01-01,1985-07-20
12256,Guadalupe,Reghbati,Senior Staff,1992-08-26,9999-01-01,1985-08-26
12279,Renee,Brookman,Senior Engineer,1995-03-06,9999-01-01,1985-03-06
12280,Lidong,Eiter,Senior Engineer,1985-02-27,9999-01-01,1985-02-27
12290,Jeanne,Braccini,Senior Staff,1994-08-10,9999-01-01,1985-08-10
12305,Marek,Ferriere,Engineer,2000-01-11,9999-01-01,1985-06-06
12307,Sarita,Schlumberger,Senior Engineer,1994-02-23,9999-01-01,1985-02-23
12308,Mototsugu,Cronau,Senior Staff,1991-08-11,9999-01-01,1985-08-11
12311,Susanne,Lubachevsky,Senior Engineer,1985-10-22,9999-01-01,1985-10-22
12341,Rasiah,Luga,Senior Engineer,1990-05-25,9999-01-01,1985-05-25
12348,Krister,Rahimi,Assistant Engineer,1998-08-06,9999-01-01,1985-11-08
12365,Kamakshi,Bisiani,Senior Engineer,1994-09-12,9999-01-01,1985-04-07
12373,Mooi,Driscoll,Senior Staff,1993-11-11,9999-01-01,1985-03-22
12387,Lijie,Landherr,Senior Engineer,2002-06-09,9999-01-01,1985-09-02
12404,Manu,Kulisch,Senior Engineer,1993-12-14,9999-01-01,1985-12-14
12422,Berhard,Demos,Senior Staff,2001-06-07,9999-01-01,1985-07-20
12428,Tokuyasu,Plavsic,Senior Engineer,1994-06-21,9999-01-01,1985-09-23
12447,Bernice,Huxford,Senior Engineer,1994-02-10,9999-01-01,1985-02-10
12453,TRUE,Ebeling,Senior Engineer,1994-12-12,9999-01-01,1985-12-12
12465,Gita,Ressouche,Senior Staff,1985-11-22,9999-01-01,1985-11-22
12471,Aksel,Nivat,Senior Staff,2000-07-12,9999-01-01,1985-04-19
12472,Leah,Madeira,Senior Engineer,1990-12-10,9999-01-01,1985-12-10
12481,Ipke,Uludag,Senior Engineer,2001-05-11,9999-01-01,1985-05-11
12496,Guiseppe,Chimia,Technique Leader,1996-03-15,9999-01-01,1985-06-15
12497,Stein,Penz,Senior Staff,1997-09-25,9999-01-01,1985-04-05
12510,Rosli,Hellwagner,Senior Engineer,1985-05-15,9999-01-01,1985-05-15
12513,Niteen,Vesna,Senior Staff,1985-10-30,9999-01-01,1985-10-30
12514,Tomofumi,Melter,Engineer,1999-11-13,9999-01-01,1985-12-03
12519,Suebskul,Ghazalie,Engineer,1999-09-28,9999-01-01,1985-05-13
12534,Yongmao,Gerlach,Senior Engineer,1985-08-14,9999-01-01,1985-08-14
12554,Debatosh,Muhling,Senior Engineer,1992-08-29,9999-01-01,1985-08-29
12570,Stafford,Anily,Senior Engineer,1985-03-28,9999-01-01,1985-03-28
12602,Alain,Erdi,Senior Engineer,1997-10-30,9999-01-01,1985-04-15
12604,Minghong,Conti,Senior Staff,1995-10-13,9999-01-01,1985-05-04
12608,Nectarios,Mondadori,Senior Staff,2000-02-22,9999-01-01,1985-06-23
12635,Xinyu,Restivo,Senior Engineer,2000-02-03,9999-01-01,1985-11-27
12649,Odinaldo,Luon,Senior Staff,1991-10-05,9999-01-01,1985-10-05
12655,Herb,Ramaiah,Senior Engineer,1991-12-12,9999-01-01,1985-12-12
12662,Leucio,Alvarado,Engineer,1994-08-27,9999-01-01,1985-08-27
12667,Maris,Kemmerer,Senior Engineer,1992-12-18,9999-01-01,1985-12-18
12679,Kolar,Sommen,Senior Engineer,1990-02-26,9999-01-01,1985-02-26
12699,Izaskun,Setia,Senior Staff,1985-09-24,9999-01-01,1985-09-24
12703,Luigi,Brookner,Senior Staff,1992-11-22,9999-01-01,1985-11-22
12709,Ronghao,Botman,Senior Engineer,2001-02-25,9999-01-01,1985-12-02
12714,Sverrir,Zeilberger,Senior Engineer,1998-06-26,9999-01-01,1985-04-01
12722,Elliott,Cheshire,Senior Staff,1985-03-29,9999-01-01,1985-03-29
12738,Luigi,Hammerschmidt,Senior Engineer,1994-09-23,9999-01-01,1985-09-23
12763,Adamantios,Lovengreen,Senior Staff,1996-07-22,9999-01-01,1985-11-21
12773,Jenwei,Lovengreen,Senior Engineer,1994-03-05,9999-01-01,1985-03-05
12783,Mahendra,Ginneken,Senior Engineer,1992-11-13,9999-01-01,1985-11-13
12803,Gad,Boissier,Senior Staff,1990-03-16,9999-01-01,1985-03-16
12804,Marlo,Rosti,Senior Staff,1993-02-14,9999-01-01,1985-04-04
12806,Mayuri,Ramamoorthy,Staff,1999-03-28,9999-01-01,1985-08-27
12813,Mack,Schmittgen,Senior Engineer,2000-10-16,9999-01-01,1985-12-18
12815,Sushant,Junot,Senior Staff,1993-02-27,9999-01-01,1985-02-27
12817,Bokyung,Rosti,Senior Engineer,1994-12-24,9999-01-01,1985-12-24
12823,Pranav,Lanteri,Senior Engineer,1985-05-11,9999-01-01,1985-05-11
12833,Jaideep,Tibblin,Senior Engineer,1987-06-04,9999-01-01,1985-08-12
12863,Leif,Matheson,Senior Engineer,1990-09-06,9999-01-01,1985-09-06
12890,Neven,Casley,Senior Staff,1985-10-31,9999-01-01,1985-10-31
12897,Gaurav,Zhiwei,Engineer,1999-09-22,9999-01-01,1985-08-24
12906,Zdislav,Khalid,Senior Staff,2001-12-23,9999-01-01,1985-04-28
12912,Zejun,Yoshizawa,Senior Staff,1998-01-03,9999-01-01,1985-07-08
12926,Heekeun,Luby,Senior Staff,1992-12-24,9999-01-01,1985-12-24
12927,Mohan,Limongiello,Senior Engineer,1993-10-27,9999-01-01,1985-10-27
12942,Maia,Dalphin,Senior Engineer,1997-10-28,9999-01-01,1985-10-14
12957,Michaela,Worfolk,Senior Engineer,1998-02-05,9999-01-01,1985-10-14
12979,Aluzio,Ladret,Senior Engineer,1999-12-16,9999-01-01,1985-08-28
12983,Elliott,Hambrick,Staff,1999-06-28,9999-01-01,1985-12-01
12988,Christoph,Lanzelotte,Senior Engineer,1991-08-12,9999-01-01,1985-08-12
12989,Kendra,Bugrara,Senior Engineer,1998-07-16,9999-01-01,1985-10-15
12990,Kristina,Benaini,Senior Engineer,1990-07-12,9999-01-01,1985-07-12
12995,Hisao,Rahier,Senior Engineer,2002-01-08,9999-01-01,1985-03-25
13026,Gina,Itschner,Assistant Engineer,1995-05-23,9999-01-01,1985-05-15
13028,Mayumi,Siksek,Senior Staff,1990-10-28,9999-01-01,1985-10-28
13029,Selwyn,Demke,Assistant Engineer,1998-08-05,9999-01-01,1985-02-02
13039,Alain,Akazan,Senior Engineer,1994-10-29,9999-01-01,1985-10-29
13042,Vishu,Birdsall,Senior Engineer,1997-03-27,9999-01-01,1985-11-23
13056,Arvind,Zirintsis,Senior Staff,1990-05-16,9999-01-01,1985-05-16
13074,Kiam,Garigliano,Senior Engineer,1993-03-24,9999-01-01,1985-03-24
13077,Sangeeta,Biron,Staff,1999-03-20,9999-01-01,1985-12-22
13124,Quingbo,Garnick,Senior Staff,1985-03-17,9999-01-01,1985-03-17
13133,Guther,Senzako,Senior Staff,1991-09-03,9999-01-01,1985-09-03
13146,Haldon,Erie,Senior Staff,1985-05-25,9999-01-01,1985-05-25
13147,Shichao,Ginesta,Senior Staff,1998-06-29,9999-01-01,1985-12-16
13152,Yuguang,Falck,Senior Engineer,1993-11-28,9999-01-01,1985-11-28
13182,Kokou,Rodite,Engineer,1999-03-03,9999-01-01,1985-08-27
13183,Shaw,Smailagic,Senior Staff,1990-11-23,9999-01-01,1985-11-23
13190,Stepehn,Kowalchuk,Senior Staff,1991-07-17,9999-01-01,1985-06-12
13208,Maren,Vakili,Senior Engineer,1990-03-25,9999-01-01,1985-03-25
13217,Taiji,Lamparter,Senior Staff,1999-12-16,9999-01-01,1985-06-18
13234,Wuxu,Makinen,Staff,1997-12-18,9999-01-01,1985-03-17
13238,Ebru,Foote,Senior Staff,1998-10-10,9999-01-01,1985-10-30
13250,Zeydy,Schusler,Senior Engineer,1998-10-27,9999-01-01,1985-11-19
13265,Masali,Khalid,Senior Engineer,1990-11-26,9999-01-01,1985-11-26
13272,Arun,Jiang,Senior Staff,1985-03-10,9999-01-01,1985-03-10
13280,Gunilla,Cappelletti,Senior Staff,1990-03-30,9999-01-01,1985-03-30
13338,Tonny,Gecsel,Senior Engineer,1993-08-16,9999-01-01,1985-08-16
13382,Makato,Domenig,Engineer,1994-12-25,9999-01-01,1985-09-19
13383,Richard,Birke,Senior Staff,1991-07-30,9999-01-01,1985-07-30
13397,Nimmagadda,Wilfing,Senior Staff,1994-06-25,9999-01-01,1985-12-20
13399,Ute,Gischer,Senior Engineer,1996-04-22,9999-01-01,1985-07-06
13402,Augustine,Dulli,Engineer,1999-09-12,9999-01-01,1985-09-15
13411,Yonghong,Himler,Senior Staff,2001-04-27,9999-01-01,1985-03-13
13435,Moto,Businaro,Technique Leader,1985-11-10,9999-01-01,1985-11-10
13443,Mayuko,Puppo,Senior Engineer,1996-12-25,9999-01-01,1985-03-06
13444,Doohun,Lienhardt,Senior Engineer,1995-05-01,9999-01-01,1985-05-01
13458,Feipei,Nivat,Senior Engineer,1995-03-02,9999-01-01,1985-12-12
13462,Masasuke,Suwa,Senior Staff,1992-06-10,9999-01-01,1985-05-24
13465,Sasan,Rehfuss,Engineer,1999-03-12,9999-01-01,1985-07-08
13471,Jungsoon,Junot,Senior Staff,1997-08-25,9999-01-01,1985-10-25
13474,Szabolcs,Meriste,Senior Engineer,1999-10-18,9999-01-01,1985-07-07
13476,Niclas,Broomell,Senior Engineer,1990-05-01,9999-01-01,1985-05-01
13481,Marsal,Range,Assistant Engineer,1998-03-06,9999-01-01,1985-10-27
13487,Geoffrey,Claffy,Senior Staff,1993-03-07,9999-01-01,1985-06-12
13494,Domenico,Baca,Senior Engineer,1994-10-07,9999-01-01,1985-10-07
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01,1985-11-25
13524,Chaoyi,Porotnikoff,Senior Staff,2000-10-27,9999-01-01,1985-07-27
13537,Jacqueline,Ibel,Senior Engineer,1997-03-19,9999-01-01,1985-03-20
13552,Ingmar,Capobianchi,Senior Staff,1993-03-23,9999-01-01,1985-03-23
13561,Fai,Thebaut,Senior Engineer,1985-07-05,9999-01-01,1985-07-05
