emp_no,first_name,last_name,title,from_date,to_date,salary
20100,Utz,Heuter,Senior Staff,1995-06-15,9999-01-01,64100
20128,Kazunori,Peak,Senior Staff,1999-08-13,9999-01-01,40000
20129,Rafael,Skafidas,Senior Engineer,2000-03-27,9999-01-01,53292
20248,Vidar,Demri,Staff,1999-12-31,9999-01-01,40000
20313,Candida,Benveniste,Engineer,1999-01-20,9999-01-01,40000
20500,Christoph,Trystram,Senior Staff,1998-10-15,9999-01-01,40000
20712,Valeri,Escriba,Engineer,1994-04-09,1998-05-02,71743
20720,Heejo,Brodie,Senior Staff,1996-12-27,1997-05-17,40000
20885,Otmar,Rothenberg,Senior Engineer,1996-03-14,9999-01-01,59704
21181,Jianhui,Cangellaris,Engineer,1999-10-06,9999-01-01,60114
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01,40000
21534,Alagu,Luders,Staff,1996-04-03,1997-12-14,40000
21546,Yongmin,Lanteri,Senior Staff,1988-02-16,9999-01-01,75391
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01,52216
21909,Mohammed,Brizzi,Senior Staff,1998-12-28,9999-01-01,60302
22027,Sangeeta,Georg,Staff,1992-07-31,1998-03-14,68981
22185,Huai,Birch,Engineer,2002-03-26,9999-01-01,40000
22415,Perla,Jumpertz,Senior Staff,1994-08-24,9999-01-01,69277
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,9999-01-01,40000
22455,Barry,Unno,Senior Staff,1999-11-16,9999-01-01,69644
22502,Rutger,Binkley,Senior Engineer,1989-10-16,2001-11-02,57324
22926,Manibrata,Genther,Senior Engineer,1996-01-15,9999-01-01,56184
23396,Hilari,Fairtlough,Technique Leader,1986-12-15,9999-01-01,55806
24080,Jaana,Perez,Technique Leader,1996-03-11,9999-01-01,47203
24189,Abdelaziz,Atrawala,Staff,1993-03-28,1997-02-23,40000
24205,Roddy,Rubsam,Senior Engineer,1993-09-19,9999-01-01,49424
24377,Lubomir,Wroclawski,Senior Engineer,2000-07-25,9999-01-01,42900
24394,Zhonghui,Conta,Staff,1994-09-10,9999-01-01,55035
24421,Dannz,Grospietsch,Senior Engineer,1990-09-01,2000-10-12,48385
24553,Anwar,Passafiume,Senior Staff,1994-01-30,9999-01-01,58459
24571,Cordelia,Gischer,Senior Engineer,1995-03-14,9999-01-01,40000
25488,Ingmar,Basawa,Senior Staff,1997-11-08,9999-01-01,40851
26476,Bilhanan,Karcich,Staff,1996-04-09,1997-02-04,69850
26503,Shietung,Billingsley,Senior Staff,1998-11-07,1998-12-02,82404
26617,Berto,Bruckman,Engineer,1991-11-23,1994-03-27,46589
26629,Nevin,Rodham,Senior Staff,1998-12-14,9999-01-01,50836
26671,Jiakeng,Kalorkoti,Senior Engineer,2001-12-25,9999-01-01,68039
26788,Zongyan,Dalphin,Senior Engineer,1993-04-23,9999-01-01,40000
27150,Chenyi,Plump,Staff,1992-06-23,1995-05-22,77037
27331,Wanqing,Krohm,Senior Staff,1999-01-22,9999-01-01,40000
27378,Piyawadee,Leppanen,Senior Staff,1999-02-25,9999-01-01,48227
27620,Shuji,Kandlur,Senior Engineer,1997-03-02,9999-01-01,40000
27686,Manu,Rosiles,Senior Staff,1998-03-03,9999-01-01,62592
27699,Falguni,Pezzoli,Engineer,1996-12-23,9999-01-01,67505
27767,Tooru,Veldwijk,Senior Staff,2000-11-21,9999-01-01,40000
27970,KayLiang,Miyakawa,Technique Leader,1995-11-22,2000-02-07,40000
28193,Xinglin,Mitsuhashi,Senior Engineer,1997-12-14,9999-01-01,40490
28222,Mayuko,Vitiello,Technique Leader,1993-12-22,1995-10-16,40000
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,9999-01-01,40000
28988,Tua,Giveon,Technique Leader,1998-09-09,9999-01-01,47185
29130,Xumin,Thorensen,Staff,1998-04-26,9999-01-01,67033
29265,Gilbert,Calkin,Senior Staff,1994-03-21,9999-01-01,40000
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,9999-01-01,48212
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,9999-01-01,57496
29679,Kolar,Steenbeek,Senior Engineer,1986-10-18,9999-01-01,44381
29782,Jouko,Hellwagner,Senior Engineer,1994-12-21,9999-01-01,45222
29954,Pranay,Giarratana,Senior Engineer,1992-09-29,9999-01-01,40000
30007,Kousuke,Vecchio,Senior Engineer,1999-02-23,9999-01-01,56378
30035,Tetsushi,Conta,Senior Staff,1995-07-04,9999-01-01,45843
30154,Mayuko,Skafidas,Technique Leader,1999-04-19,9999-01-01,40000
30182,Leon,Potthoff,Senior Engineer,1993-12-08,9999-01-01,61572
30465,Randi,Avouris,Senior Engineer,1991-07-16,9999-01-01,41895
30484,Sailaja,Chvatal,Staff,1999-05-18,9999-01-01,62692
30552,Yishai,Terlouw,Senior Engineer,1992-09-18,1999-01-07,40000
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,9999-01-01,42052
30938,Yakkov,Samarati,Senior Staff,2000-05-22,9999-01-01,43593
31147,Divine,Sidhu,Senior Staff,1989-07-05,9999-01-01,54305
31170,Tuval,Waleschkowski,Senior Staff,1987-10-16,1988-12-14,54779
31188,Leandro,Gist,Technique Leader,1993-02-03,9999-01-01,40000
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,9999-01-01,40000
31341,Oksana,Zultner,Senior Staff,1997-03-22,9999-01-01,53219
31514,Harngdar,Schapire,Senior Engineer,2001-11-09,9999-01-01,62415
31568,Mark,Lalonde,Staff,1996-11-24,9999-01-01,67061
31599,Qingxiang,Gewali,Engineer,1997-09-22,1998-12-01,40000
31629,Toong,Veldwijk,Engineer,1995-07-28,1996-04-26,73023
31909,Murthy,Peek,Engineer,1994-07-19,9999-01-01,46224
32347,Terresa,Peres,Senior Staff,1997-09-15,9999-01-01,66965
32552,Atreye,Stanger,Engineer,1999-09-10,9999-01-01,50710
32622,Piyush,Paciorek,Staff,1991-04-07,1991-08-07,40000
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,9999-01-01,51124
32714,Radoslaw,Maliniak,Staff,1997-11-17,9999-01-01,82622
32844,Tadahiko,Melton,Engineer,1995-01-07,9999-01-01,48091
33025,Jessie,Thorelli,Senior Staff,1999-12-16,9999-01-01,40000
33215,Steen,Fasbender,Technique Leader,1993-02-14,9999-01-01,48797
33293,Adamantios,Vanwelkenhuysen,Engineer,2000-01-11,2000-08-18,40000
33606,Clyde,Swift,Staff,1994-11-14,1996-12-29,61733
33722,Anwar,Collette,Senior Engineer,1994-03-22,9999-01-01,40000
34077,Angel,Sichman,Senior Staff,1997-11-16,9999-01-01,50005
34261,Kyoichi,Callaway,Senior Staff,1996-12-29,9999-01-01,40000
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01,40000
34452,Naftaly,Foong,Senior Engineer,2000-05-09,9999-01-01,50679
34505,Felicidad,Kumaresan,Senior Staff,2001-09-06,9999-01-01,87384
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,9999-01-01,40829
34780,Moni,Kohling,Staff,1994-07-21,9999-01-01,64125
34788,Ennio,Babu,Senior Engineer,1994-08-31,9999-01-01,58068
34936,Bokyung,Stamatiou,Technique Leader,1991-02-12,9999-01-01,65899
35044,Jiang,Waschkowski,Senior Engineer,1997-05-27,9999-01-01,52310
35087,Leif,Ashish,Senior Staff,2001-10-14,9999-01-01,40000
35441,Chandrasekaran,Peek,Senior Engineer,1993-02-06,9999-01-01,48152
35642,Ashish,Talmon,Senior Engineer,2002-06-13,9999-01-01,40000
35793,Oscar,Kusalik,Senior Staff,1996-05-10,9999-01-01,56473
35798,Ulf,Oberman,Senior Engineer,1997-03-15,9999-01-01,41160
36521,Serif,Gladwell,Senior Staff,1993-03-05,9999-01-01,57111
36626,Fen,Genin,Senior Staff,1986-05-09,9999-01-01,48437
36733,Uma,Reinhard,Staff,1997-11-01,9999-01-01,40000
36844,Hailing,Levergood,Staff,2000-01-12,9999-01-01,57007
36982,Kotesh,Rajala,Senior Engineer,2000-06-23,9999-01-01,40000
37070,Jeong,Undy,Senior Staff,1993-02-13,9999-01-01,43215
37592,Berni,Stranks,Engineer,1985-11-05,1992-09-19,69900
37719,Nakhoon,Buescher,Engineer,1997-06-12,1999-01-17,51093
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,9999-01-01,40000
38017,Ulf,Himler,Staff,1994-01-02,1997-11-28,40977
38043,Michaela,Randi,Senior Engineer,1994-11-23,9999-01-01,49927
38103,Masasuke,Babu,Senior Engineer,1993-03-31,9999-01-01,48383
38168,Fumiko,Deverell,Senior Staff,1996-08-14,9999-01-01,40000
38550,JoAnne,Baez,Senior Engineer,1987-02-16,9999-01-01,40000
38593,Huei,Orsini,Senior Engineer,1995-06-04,9999-01-01,60124
38947,Shuichi,Ruemmler,Senior Staff,1998-03-08,9999-01-01,40000
39000,Martijn,Vendrig,Senior Staff,2002-03-03,9999-01-01,48649
39036,Changho,Cappelli,Staff,1996-05-04,9999-01-01,40000
39268,Constantijn,Awdeh,Engineer,1987-10-20,1990-06-10,52535
39301,Rimon,Kawashima,Senior Staff,1998-02-05,9999-01-01,40000
39341,Mahmut,Lampe,Senior Engineer,1994-05-11,9999-01-01,50645
39952,Otmar,Sudbeck,Staff,1998-07-22,9999-01-01,80468
40269,Toshiki,Ghazalie,Senior Staff,2000-12-04,9999-01-01,70370
40283,Sudhanshu,Boissier,Senior Engineer,1993-05-11,9999-01-01,40000
40301,Spyrose,Felder,Senior Engineer,1996-06-16,9999-01-01,40000
40536,Harngdar,Bernardinello,Senior Engineer,1996-02-29,9999-01-01,49948
40648,Wayne,Erev,Staff,1990-09-19,1993-02-02,91874
40765,Michaela,Ramsak,Senior Staff,2001-12-21,9999-01-01,51758
40773,Shimshon,Aingworth,Senior Staff,1991-04-13,9999-01-01,40000
40785,Youpyo,Castellani,Engineer,1998-09-04,1999-10-14,49404
40983,Marla,Cherinka,Technique Leader,1986-12-01,9999-01-01,40000
41114,Petter,Thummel,Technique Leader,1995-12-24,9999-01-01,60729
41137,Bikash,Buchter,Senior Staff,1992-11-22,9999-01-01,71921
41357,Willard,Vernadat,Engineer,1997-03-04,9999-01-01,59086
41518,Keung,Schapiro,Senior Engineer,1998-04-19,9999-01-01,47399
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,9999-01-01,44818
41552,Uno,Heyers,Senior Engineer,1999-09-28,2001-11-29,46811
41609,Yucai,Simmen,Senior Staff,1987-10-13,9999-01-01,60396
42778,Shuji,Remmers,Senior Staff,1996-12-17,9999-01-01,40000
42911,Brigham,Eterovic,Senior Engineer,1999-10-08,9999-01-01,40181
42950,Shaleah,Eickenmeyer,Senior Staff,1993-10-09,9999-01-01,40000
42955,Yucel,Lortz,Engineer,1995-02-21,9999-01-01,40000
43154,Maha,Waterhouse,Senior Staff,2002-07-04,9999-01-01,69813
43358,Ottavia,Mitsuhashi,Staff,1989-08-18,1996-07-13,63651
43733,Huei,Boguraev,Senior Staff,1998-12-31,9999-01-01,40000
43848,Phillip,Oxenboll,Engineer,1999-05-26,9999-01-01,40000
44054,Alenka,Ritcey,Engineer,1997-02-09,9999-01-01,40000
44265,Maria,Eppinger,Engineer,1997-01-30,9999-01-01,52444
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,9999-01-01,40000
44900,Mark,Schwaller,Senior Staff,2001-08-10,9999-01-01,47805
44959,Volkmar,Uhrik,Senior Engineer,1995-01-16,9999-01-01,60432
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,9999-01-01,40000
45162,Dulce,Speel,Senior Engineer,1996-10-18,9999-01-01,58610
45590,Masoud,Genin,Technique Leader,1991-02-16,1994-06-01,42484
46000,Zhaofang,Penn,Senior Staff,2002-07-24,9999-01-01,40000
46015,Weiye,Masand,Staff,1995-07-24,2002-01-29,66067
46222,Mrinalini,Strooper,Staff,1990-03-05,1992-09-04,64880
46328,Wuxu,Trogemann,Senior Staff,1997-01-27,9999-01-01,76950
46531,Yaghout,Peng,Assistant Engineer,1995-10-02,1997-10-07,59370
46811,Junsik,Berendt,Senior Engineer,1988-04-27,9999-01-01,52228
46834,Tooru,Daescu,Senior Staff,1998-03-20,9999-01-01,82569
46943,Pasqua,Maraist,Senior Engineer,1998-12-06,9999-01-01,46091
47016,Toong,Litecky,Senior Staff,1994-03-01,9999-01-01,58961
47139,Marco,Usdin,Engineer,1996-10-29,9999-01-01,67283
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,9999-01-01,40000
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,9999-01-01,50098
47702,Juyoung,Vieri,Senior Staff,1999-08-12,9999-01-01,84625
47708,Edwin,Haldar,Senior Staff,1995-07-12,9999-01-01,76137
48275,Sariel,Massonet,Senior Staff,1993-11-19,9999-01-01,67799
48690,Hitomi,Schaap,Staff,1999-09-27,9999-01-01,47581
48882,Leen,Lamparter,Senior Engineer,2001-06-07,9999-01-01,40000
48904,Yuichiro,Malabarba,Senior Staff,1999-03-07,9999-01-01,58807
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,9999-01-01,57836
49010,Kazuhisa,Benantar,Senior Staff,1994-10-23,9999-01-01,63422
49017,Filipp,Flanders,Senior Engineer,1999-11-26,9999-01-01,46622
49119,Lena,Peek,Senior Engineer,1997-05-15,9999-01-01,55051
49177,Tze,Bach,Engineer,1999-03-09,9999-01-01,44995
49464,Siddarth,Cappelletti,Staff,1999-09-10,9999-01-01,73678
49477,Baocai,Leaver,Senior Staff,1998-08-05,9999-01-01,40000
50293,Xinan,Rindone,Engineer,1996-10-08,9999-01-01,40000
50311,Mooi,Stafford,Senior Engineer,1996-10-06,9999-01-01,40000
50360,Sumali,Kushner,Engineer,1999-10-30,2001-10-29,41121
50453,Aron,Harbusch,Staff,1997-10-02,9999-01-01,79402
50587,Slavian,Yemenis,Technique Leader,1993-08-06,1994-11-18,70767
50670,Boguslaw,Snedden,Senior Staff,1993-02-20,9999-01-01,64895
50831,Marie,Khalid,Senior Engineer,1990-10-27,9999-01-01,52845
51036,Chriss,Fasbender,Staff,1995-05-23,9999-01-01,55121
51057,Theirry,Albarhamtoshy,Senior Staff,1996-09-26,9999-01-01,58337
51060,Youngkon,Rohrbach,Senior Engineer,1998-10-20,9999-01-01,42308
51118,Fumiko,Mundy,Staff,1998-09-22,2001-08-20,56519
51142,Rosine,Lakshmanan,Senior Engineer,1991-01-31,9999-01-01,46516
51502,Slavian,Munawer,Senior Staff,1999-08-06,2001-09-04,72237
51868,Remmert,Munke,Assistant Engineer,1991-09-22,1998-05-19,55988
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01,52102
52040,Phule,Heijenga,Senior Staff,1998-02-21,9999-01-01,40000
52283,Trygve,Krupka,Senior Staff,2001-03-11,9999-01-01,44232
52386,Adas,Denti,Senior Staff,1995-05-30,9999-01-01,65342
52590,Jouni,Munoz,Senior Staff,2000-11-25,9999-01-01,45171
52599,Augustine,Mungall,Senior Engineer,1996-08-30,9999-01-01,48897
52639,Arup,Colorni,Senior Staff,1996-02-05,9999-01-01,69976
52770,Shugo,Yurek,Senior Staff,1998-08-28,9999-01-01,65588
52778,Alain,Penn,Technique Leader,1986-05-03,9999-01-01,46041
52956,Khalil,Picci,Senior Engineer,1992-03-20,9999-01-01,40000
52970,Lobel,Werthner,Senior Engineer,1997-03-17,9999-01-01,47552
53088,Mechthild,Lamma,Senior Engineer,1992-05-18,1993-06-03,40000
53278,Premsyl,Lortz,Senior Staff,1999-02-01,9999-01-01,67503
53314,Eberhardt,Carrera,Staff,1999-02-23,9999-01-01,40000
53431,Sham,Vasanthakumar,Senior Staff,1985-10-24,9999-01-01,60379
53499,Zdislav,Mandelberg,Senior Engineer,2000-09-10,9999-01-01,40000
53597,Jiafu,Marchegay,Senior Engineer,1992-03-02,9999-01-01,41626
53746,Manu,Erva,Staff,1989-03-17,1993-04-29,63132
53874,Bodo,Schade,Senior Staff,1995-02-14,9999-01-01,51955
53891,Olivera,Pargaonkar,Staff,1989-03-13,1992-03-29,50046
53924,Arnould,Gaughan,Senior Engineer,1998-01-23,9999-01-01,40000
54198,Shaowen,Segond,Senior Engineer,1993-01-06,9999-01-01,40000
54632,Etsuo,Serot,Senior Staff,1997-06-14,9999-01-01,43788
54795,Sumant,Nergos,Senior Staff,2000-05-07,9999-01-01,40000
54800,Breannda,Cangellaris,Staff,2000-01-27,9999-01-01,74827
55121,Toshiko,Alblas,Engineer,1995-07-20,1996-07-23,55774
55640,Adit,Syrotiuk,Senior Engineer,1999-07-16,9999-01-01,40000
55670,Ulf,Ranft,Senior Staff,1990-03-25,1996-05-17,63760
55687,Shih,Lindqvist,Senior Engineer,1995-03-29,9999-01-01,40000
55799,Jianwen,Litzler,Senior Engineer,1993-06-16,9999-01-01,61980
55857,Adin,Scallan,Senior Staff,1996-09-14,9999-01-01,70416
56105,Makato,Remmers,Senior Engineer,1994-04-16,9999-01-01,40000
56209,Remzi,Douceur,Senior Engineer,1998-12-01,9999-01-01,54373
56415,Sigeru,Nivat,Senior Staff,1999-10-24,9999-01-01,51148
56428,Olivera,Hanabata,Senior Staff,1992-11-09,9999-01-01,43255
56682,Roded,Picco,Assistant Engineer,1993-11-06,9999-01-01,40000
56829,Nagui,Gruenwald,Engineer,1995-12-24,9999-01-01,40000
56847,Menkae,Chinin,Senior Engineer,1989-08-19,9999-01-01,44031
57934,Sanjoy,Boudaillier,Senior Engineer,1997-12-27,9999-01-01,82396
57982,Paloma,Benzaken,Senior Staff,1989-10-17,1998-09-11,55662
58141,Bezalel,Karner,Staff,1994-09-27,9999-01-01,46317
58147,Shigenori,Sullins,Senior Staff,1988-02-24,9999-01-01,55703
58217,Kiyotoshi,Kusalik,Engineer,1998-11-19,1999-06-26,43222
58384,Mariusz,Vural,Senior Engineer,2001-11-14,9999-01-01,40000
58454,Ziya,Zambonelli,Engineer,1999-06-29,9999-01-01,44411
58497,Yechiam,Cairo,Senior Staff,1996-07-12,9999-01-01,90613
58601,Sungwon,Asser,Staff,2000-01-27,2000-04-01,67956
58819,Gennady,Liesche,Senior Staff,1987-12-02,9999-01-01,71147
58990,Palash,Trelles,Engineer,1998-11-18,9999-01-01,47785
59195,Ronnie,Pollock,Technique Leader,1990-06-19,9999-01-01,50132
59329,Zissis,Bazzichi,Staff,1987-02-07,1991-01-25,40000
59640,Zita,Hiltgen,Staff,1999-01-26,9999-01-01,45566
59661,Saeko,Baik,Staff,1996-05-23,1999-08-15,49077
59869,Zsolt,Riefers,Senior Staff,1994-09-25,9999-01-01,56247
59966,Steen,Salvesen,Technique Leader,1993-02-03,9999-01-01,40000
60000,Heekeun,Emmart,Engineer,2001-09-22,9999-01-01,60002
60091,Surveyors,Bade,Senior Staff,1996-04-10,9999-01-01,46436
60238,Erzsebet,Claffy,Staff,1997-03-03,9999-01-01,73612
60559,Jeanna,Stemann,Senior Engineer,1996-08-29,9999-01-01,41261
60821,Moty,Mersereau,Senior Staff,1999-09-03,9999-01-01,44481
60845,Bedir,Siegrist,Engineer,1997-05-13,9999-01-01,71431
60875,Rildo,Masaki,Senior Engineer,1997-01-14,9999-01-01,41164
60959,Tetsushi,Sridhar,Senior Staff,1997-01-12,9999-01-01,62352
61147,Leszek,Werthner,Staff,1999-03-03,9999-01-01,64737
61253,Cheong,Uhrik,Senior Engineer,2001-06-04,9999-01-01,40000
61377,Dannz,Ohori,Senior Staff,1994-01-17,9999-01-01,40000
61541,Kasidit,Papsdorf,Senior Engineer,1999-08-17,9999-01-01,49649
61680,Hauke,Templeman,Staff,1991-10-23,1999-02-21,53505
61873,Woody,Rusmann,Engineer,2002-02-26,9999-01-01,40000
61983,Sastry,Reeken,Staff,1990-07-24,1992-05-17,66992
62033,Heeju,Cappelli,Senior Engineer,1994-01-15,9999-01-01,69343
62046,Karlis,Nanard,Senior Engineer,2001-09-19,9999-01-01,54073
62167,Mihalis,Haldar,Senior Engineer,1998-05-11,2001-02-03,40000
62245,Adel,Bressoud,Engineer,1995-08-30,9999-01-01,40000
62384,Akeel,Litzler,Senior Staff,1999-10-23,2001-12-21,40000
63294,Tetsushi,Tanemo,Senior Engineer,2002-03-01,9999-01-01,40000
63419,Hiroyasu,Seuren,Senior Engineer,1989-03-05,9999-01-01,40000
63441,Hinrich,Scallan,Staff,1999-04-04,9999-01-01,40000
63444,Padma,Peres,Senior Staff,1991-02-20,1994-12-22,65631
63566,Heekeun,Slaats,Senior Staff,1999-01-12,9999-01-01,40000
63631,Falguni,Cherinka,Senior Engineer,1986-09-08,9999-01-01,40000
63706,Sedat,Itzigehl,Engineer,1997-07-31,9999-01-01,46185
64023,Laurentiu,Benzmuller,Senior Engineer,1999-11-08,9999-01-01,45861
64209,Golgen,Schoegge,Senior Staff,1988-02-26,9999-01-01,40000
64431,Faiza,Zongker,Technique Leader,1995-12-10,2001-12-03,42352
64487,Tsutomu,Rebaine,Senior Engineer,1994-09-17,9999-01-01,42874
64532,Atilio,Segond,Senior Engineer,1996-11-28,9999-01-01,76024
64632,Zsolt,Brender,Senior Staff,1996-02-21,9999-01-01,74384
64790,Shin,Piveteau,Senior Engineer,1993-04-19,9999-01-01,59783
64828,Krister,Pappas,Staff,1999-09-30,9999-01-01,61091
64984,Eldridge,Eldridge,Senior Engineer,1991-06-24,9999-01-01,40000
65013,Chandrasekaran,Peral,Senior Engineer,1992-02-29,2001-12-14,54474
65171,Jeane,Tasistro,Technique Leader,1994-07-06,9999-01-01,71349
65539,Aksel,Picaronny,Senior Engineer,1998-01-27,9999-01-01,60784
65883,Patricia,Pepe,Senior Staff,1996-04-18,9999-01-01,93721
65998,Mandell,Alameldin,Senior Staff,1996-04-08,9999-01-01,85937
66382,Domenico,Candan,Engineer,1997-07-13,9999-01-01,55428
66530,Dung,Leaver,Staff,1998-04-04,9999-01-01,40000
66643,Jianhao,Tomescu,Engineer,1996-08-26,9999-01-01,41133
66702,Deniz,Thibadeau,Senior Engineer,2000-09-26,9999-01-01,52161
66757,Yonghong,Baig,Staff,1999-04-10,9999-01-01,46812
66807,Aiman,Rosaz,Senior Engineer,1999-05-22,9999-01-01,50982
67320,Sadok,Lorys,Senior Staff,1987-05-10,9999-01-01,89952
67548,Fumitaka,Roohalamini,Staff,1998-06-27,9999-01-01,40000
67934,Aiman,Gargeya,Senior Engineer,1993-03-07,9999-01-01,54347
68022,Kristinn,Pearson,Staff,1995-05-07,1999-06-26,40000
68168,Marl,Thiria,Senior Staff,1992-03-17,1996-12-31,46332
68263,Fumiko,Bodoff,Staff,1991-12-19,1993-07-11,66081
68416,Munenori,Debuse,Senior Engineer,1990-11-08,9999-01-01,54132
68608,Yucai,Seghrouchni,Senior Engineer,1994-06-09,9999-01-01,47652
68633,Chinhyun,Rassart,Senior Engineer,1993-07-29,9999-01-01,60777
68648,Jaques,DiGiano,Technique Leader,1992-04-01,9999-01-01,55150
69052,Shietung,Shrader,Senior Staff,1995-08-05,9999-01-01,42091
69219,Shuky,Redmiles,Senior Staff,1994-07-06,9999-01-01,75769
69867,Miyeon,Rothe,Senior Staff,1997-04-08,9999-01-01,82080
69878,Chinya,Cooke,Engineer,1997-01-29,9999-01-01,46063
69936,Lalit,Unni,Assistant Engineer,1998-12-06,9999-01-01,50124
70469,Tru,Miyakawa,Senior Staff,1998-09-03,9999-01-01,49746
70780,Behnaam,Angelov,Assistant Engineer,1995-01-29,1999-07-20,40000
70990,Arumugam,Nitta,Senior Engineer,1990-03-23,9999-01-01,56701
71066,Domenick,Basart,Senior Staff,2001-01-04,9999-01-01,78430
71141,Sajjad,Vitiello,Senior Staff,1997-02-16,9999-01-01,40000
71188,Pranjal,Schapiro,Senior Staff,1993-12-14,9999-01-01,64557
71243,Kinh,Buchter,Senior Engineer,1993-03-29,9999-01-01,51345
71334,Cathie,Peck,Senior Engineer,1998-04-12,9999-01-01,40000
71685,Kristinn,Olano,Senior Engineer,1989-10-03,9999-01-01,40000
71710,Hitomi,Takanami,Assistant Engineer,1997-12-15,9999-01-01,43204
