emp_no,first_name,last_name,title,from_date,to_date
426958,Weijing,Viele,Senior Engineer,1993-10-03,9999-01-01
427776,Jaques,Navazio,Senior Staff,1998-04-03,9999-01-01
428219,Ghassan,Androutsos,Senior Staff,1993-12-25,9999-01-01
429231,Kazuyasu,Schmiedel,Senior Staff,1991-09-07,9999-01-01
432257,Kwangjo,Hiltgen,Engineer,1998-12-22,9999-01-01
434845,Takushi,Skogmar,Senior Staff,1991-06-07,9999-01-01
437395,Sumant,Thambidurai,Senior Staff,2000-01-02,9999-01-01
441197,Miquel,Legleitner,Senior Staff,1993-06-28,9999-01-01
444208,Irena,Cesareni,Senior Staff,1985-10-30,9999-01-01
445152,Heping,Peac,Senior Staff,1992-03-20,9999-01-01
446424,DAIDA,Nooteboom,Senior Engineer,1992-11-24,9999-01-01
445941,Masako,Dechter,Technique Leader,1985-09-25,9999-01-01
450817,DAIDA,Frolund,Senior Engineer,1996-07-16,9999-01-01
446897,Takahiro,Dalton,Technique Leader,1992-09-30,9999-01-01
449984,Hinrich,Perin,Senior Engineer,1993-11-20,9999-01-01
452137,Subir,Miake,Senior Engineer,2002-07-11,9999-01-01
451253,Jaihie,Ozeri,Senior Staff,1997-06-20,9999-01-01
454791,Xiaoqiu,Pietracaprina,Senior Engineer,1994-07-09,9999-01-01
453723,Arne,Kohling,Senior Engineer,1993-12-13,9999-01-01
457832,Jackson,Zielinski,Senior Engineer,1997-09-12,9999-01-01
457489,Berna,Ranst,Senior Engineer,1992-05-14,9999-01-01
465076,Tokuyasu,Ghelli,Senior Engineer,1993-05-05,9999-01-01
458134,Thanasis,Standera,Senior Staff,1992-03-20,9999-01-01
463472,Jaber,Sethi,Technique Leader,1995-06-06,9999-01-01
469867,Hein,Jonsson,Senior Staff,1990-02-12,9999-01-01
465409,Shahid,Varman,Senior Staff,1993-08-27,9999-01-01
465874,Herb,Picht,Engineer,1994-05-31,9999-01-01
466745,Boalin,Birsak,Senior Staff,2000-10-15,9999-01-01
475965,Rimon,Pietracaprina,Senior Engineer,1990-07-10,9999-01-01
470472,Zhiguo,Staudhammer,Senior Engineer,1991-12-03,9999-01-01
472790,Zhenbing,Ibel,Senior Engineer,1985-10-29,9999-01-01
475258,Fumiyo,Feinberg,Senior Staff,1995-11-22,9999-01-01
476361,Doohun,Preusig,Technique Leader,1985-04-13,9999-01-01
483838,Sham,Kavanagh,Assistant Engineer,1997-12-18,9999-01-01
484126,Manton,Lueh,Senior Staff,1989-04-07,9999-01-01
487008,Zhigen,Raney,Senior Staff,1993-05-26,9999-01-01
490557,Luise,Vigier,Senior Engineer,2001-07-01,9999-01-01
486918,Yagil,Remmers,Senior Staff,1994-11-01,9999-01-01
488482,Kensyu,Tsunoo,Engineer,1999-12-05,9999-01-01
489755,Matk,Chorvat,Senior Staff,2000-12-29,9999-01-01
